"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                                              ,"Source"                                                        ,"Destination"                                 ,"Notes"                                                                                                                   ,"Rule"
"93" ,"" ,"UTC 11/01/2014 09:02:42.448","Info"    ,"Network Access","DNS packet allowed"                                   ,"4.2.2.3, 53, X1, c.resolvers.level3.net"                       ,"173.240.220.68, 1024, X1"                    ,"Port:  1024"                                                                                                             ,""
"94" ,"" ,"UTC 11/01/2014 09:03:03.272","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 55785, X1"                                     ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"95" ,"" ,"UTC 11/01/2014 09:03:37.240","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                           ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                         ,""
"96" ,"" ,"UTC 11/01/2014 09:03:41.176","Notice"  ,"Network Access","TCP connection dropped"                               ,"5.14.33.107, 51112, X1, 5-14-33-107.residential.rdsnet.ro"     ,"173.240.220.68, 20475, X1"                   ,"Port: 20475"                                                                                                             ,""
"97" ,"" ,"UTC 11/01/2014 09:03:41.176","Notice"  ,"Network Access","UDP packet dropped"                                   ,"5.14.33.107, 50057, X1, 5-14-33-107.residential.rdsnet.ro"     ,"173.240.220.68, 20475, X1"                   ,"Port: 20475"                                                                                                             ,""
"98" ,"" ,"UTC 11/01/2014 09:03:48.448","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                    ,"172.30.51.1, 1882, X0"                       ,"Port:  1882"                                                                                                             ,""
"99" ,"" ,"UTC 11/01/2014 09:04:00.208","Info"    ,"Network Access","DNS packet allowed"                                   ,"4.2.2.3, 53, X1, c.resolvers.level3.net"                       ,"173.240.220.68, 1024, X1"                    ,"Port:  1024"                                                                                                             ,""
"100","" ,"UTC 11/01/2014 09:04:03.288","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 55805, X1"                                     ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"101","" ,"UTC 11/01/2014 09:04:37.768","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 55814, X1"                                     ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"102","" ,"UTC 11/01/2014 09:04:56.640","Notice"  ,"Network Access","UDP packet dropped"                                   ,"5.199.223.237, 43317, X1, 5-199-223-237.k-telecom.org"         ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                             ,""
"103","" ,"UTC 11/01/2014 09:04:56.656","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                 ,"172.30.51.1, 1886, X0"                       ,"Port:  1886"                                                                                                             ,""
"104","" ,"UTC 11/01/2014 09:05:03.288","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 55824, X1"                                     ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"105","" ,"UTC 11/01/2014 09:05:17.304","Notice"  ,"Network Access","TCP connection dropped"                               ,"180.151.42.74, 50767, X1"                                      ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                             ,""
"106","" ,"UTC 11/01/2014 09:05:58.256","Notice"  ,"Network Access","UDP packet dropped"                                   ,"95.169.131.79, 35037, X1"                                      ,"173.240.220.68, 20475, X1"                   ,"Port: 20475"                                                                                                             ,""
"107","" ,"UTC 11/01/2014 09:05:58.384","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                    ,"172.30.51.1, 1891, X0"                       ,"Port:  1891"                                                                                                             ,""
"108","" ,"UTC 11/01/2014 09:06:03.304","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 55837, X1"                                     ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"109","" ,"UTC 11/01/2014 09:06:19.240","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                           ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                         ,""
"110","" ,"UTC 11/01/2014 09:07:03.304","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 55854, X1"                                     ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
